ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Premium Only,Category,Likes,Dislikes,Example Test Cases,Similar Questions
3139,Minimum Cost to Equalize Array,Hard,https://leetcode.com/problems/minimum-cost-to-equalize-array/,"Array, Greedy, Enumeration",17.76,False,Algorithms,142,24,,[]
1893,Check if All the Integers in a Range Are Covered,Easy,https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered/,"Array, Hash Table, Prefix Sum",50.51,False,Algorithms,656,123,,"[{""title"": ""Find Maximal Uncovered Ranges"", ""titleSlug"": ""find-maximal-uncovered-ranges"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1474,Delete N Nodes After M Nodes of a Linked List,Easy,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/,Linked List,74.37,True,Algorithms,431,17,,"[{""title"": ""Remove Nth Node From End of List"", ""titleSlug"": ""remove-nth-node-from-end-of-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Remove Zero Sum Consecutive Nodes from Linked List"", ""titleSlug"": ""remove-zero-sum-consecutive-nodes-from-linked-list"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
855,Exam Room,Medium,https://leetcode.com/problems/exam-room/,"Design, Heap (Priority Queue), Ordered Set",42.98,False,Algorithms,1383,514,,"[{""title"": ""Maximize Distance to Closest Person"", ""titleSlug"": ""maximize-distance-to-closest-person"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2508,Add Edges to Make Degrees of All Nodes Even,Hard,https://leetcode.com/problems/add-edges-to-make-degrees-of-all-nodes-even/,"Hash Table, Graph",33.68,False,Algorithms,348,58,,"[{""title"": ""Minimum Degree of a Connected Trio in a Graph"", ""titleSlug"": ""minimum-degree-of-a-connected-trio-in-a-graph"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2683,Neighboring Bitwise XOR,Medium,https://leetcode.com/problems/neighboring-bitwise-xor/,"Array, Bit Manipulation",79.81,False,Algorithms,794,50,,"[{""title"": ""Bitwise OR of Adjacent Elements"", ""titleSlug"": ""bitwise-or-of-adjacent-elements"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
1518,Water Bottles,Easy,https://leetcode.com/problems/water-bottles/,"Math, Simulation",70.66,False,Algorithms,1769,143,,"[{""title"": ""Water Bottles II"", ""titleSlug"": ""water-bottles-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
435,Non-overlapping Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/,"Array, Dynamic Programming, Greedy, Sorting",55.87,False,Algorithms,8795,245,,"[{""title"": ""Minimum Number of Arrows to Burst Balloons"", ""titleSlug"": ""minimum-number-of-arrows-to-burst-balloons"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Determine if Two Events Have Conflict"", ""titleSlug"": ""determine-if-two-events-have-conflict"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
973,K Closest Points to Origin,Medium,https://leetcode.com/problems/k-closest-points-to-origin/,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",68.16,False,Algorithms,8840,331,,"[{""title"": ""Kth Largest Element in an Array"", ""titleSlug"": ""kth-largest-element-in-an-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Top K Frequent Elements"", ""titleSlug"": ""top-k-frequent-elements"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Top K Frequent Words"", ""titleSlug"": ""top-k-frequent-words"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find Nearest Point That Has the Same X or Y Coordinate"", ""titleSlug"": ""find-nearest-point-that-has-the-same-x-or-y-coordinate"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Minimum Rectangles to Cover Points"", ""titleSlug"": ""minimum-rectangles-to-cover-points"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""K-th Nearest Obstacle Queries"", ""titleSlug"": ""k-th-nearest-obstacle-queries"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
463,Island Perimeter,Easy,https://leetcode.com/problems/island-perimeter/,"Array, Depth-First Search, Breadth-First Search, Matrix",73.71,False,Algorithms,7118,410,,"[{""title"": ""Max Area of Island"", ""titleSlug"": ""max-area-of-island"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Flood Fill"", ""titleSlug"": ""flood-fill"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Coloring A Border"", ""titleSlug"": ""coloring-a-border"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2060,Check if an Original String Exists Given Two Encoded Strings,Hard,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/,"String, Dynamic Programming",43.31,False,Algorithms,323,159,,"[{""title"": ""Valid Word Abbreviation"", ""titleSlug"": ""valid-word-abbreviation"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Check If Two String Arrays are Equivalent"", ""titleSlug"": ""check-if-two-string-arrays-are-equivalent"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
60,Permutation Sequence,Hard,https://leetcode.com/problems/permutation-sequence/,"Math, Recursion",50.45,False,Algorithms,7061,492,,"[{""title"": ""Next Permutation"", ""titleSlug"": ""next-permutation"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Permutations"", ""titleSlug"": ""permutations"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3192,Minimum Operations to Make Binary Array Elements Equal to One II,Medium,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii/,"Array, Dynamic Programming, Greedy",64.25,False,Algorithms,144,9,,"[{""title"": ""Minimum Suffix Flips"", ""titleSlug"": ""minimum-suffix-flips"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1890,The Latest Login in 2020,Easy,https://leetcode.com/problems/the-latest-login-in-2020/,Database,77.3,False,Database,449,16,,[]
1775,Equal Sum Arrays With Minimum Number of Operations,Medium,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations/,"Array, Hash Table, Greedy, Counting",54.09,False,Algorithms,952,45,,"[{""title"": ""Number of Dice Rolls With Target Sum"", ""titleSlug"": ""number-of-dice-rolls-with-target-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
739,Daily Temperatures,Medium,https://leetcode.com/problems/daily-temperatures/,"Array, Stack, Monotonic Stack",67.58,False,Algorithms,14055,356,,"[{""title"": ""Next Greater Element I"", ""titleSlug"": ""next-greater-element-i"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Online Stock Span"", ""titleSlug"": ""online-stock-span"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
391,Perfect Rectangle,Hard,https://leetcode.com/problems/perfect-rectangle/,"Array, Hash Table, Math, Geometry, Line Sweep",35.65,False,Algorithms,927,120,,[]
57,Insert Interval,Medium,https://leetcode.com/problems/insert-interval/,Array,43.82,False,Algorithms,11272,895,,"[{""title"": ""Merge Intervals"", ""titleSlug"": ""merge-intervals"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Range Module"", ""titleSlug"": ""range-module"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Count Integers in Intervals"", ""titleSlug"": ""count-integers-in-intervals"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
1894,Find the Student that Will Replace the Chalk,Medium,https://leetcode.com/problems/find-the-student-that-will-replace-the-chalk/,"Array, Binary Search, Simulation, Prefix Sum",53.16,False,Algorithms,1203,134,,"[{""title"": ""Pass the Pillow"", ""titleSlug"": ""pass-the-pillow"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
119,Pascal's Triangle II,Easy,https://leetcode.com/problems/pascals-triangle-ii/,"Array, Dynamic Programming",66.25,False,Algorithms,5133,363,,"[{""title"": ""Pascal's Triangle"", ""titleSlug"": ""pascals-triangle"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find Triangular Sum of an Array"", ""titleSlug"": ""find-triangular-sum-of-an-array"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2664,The Knight’s Tour,Medium,https://leetcode.com/problems/the-knights-tour/,"Array, Backtracking, Matrix",72.84,True,Algorithms,56,16,,[]
1418,Display Table of Food Orders in a Restaurant,Medium,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/,"Array, Hash Table, String, Sorting, Ordered Set",75.82,False,Algorithms,417,490,,[]
3403,Find the Lexicographically Largest String From the Box I,Medium,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-i/,"Two Pointers, String, Enumeration",41.05,False,Algorithms,466,122,,"[{""title"": ""Last Substring in Lexicographical Order"", ""titleSlug"": ""last-substring-in-lexicographical-order"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Construct the Lexicographically Largest Valid Sequence"", ""titleSlug"": ""construct-the-lexicographically-largest-valid-sequence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1796,Second Largest Digit in a String,Easy,https://leetcode.com/problems/second-largest-digit-in-a-string/,"Hash Table, String",52.36,False,Algorithms,566,131,,"[{""title"": ""Remove Digit From Number to Maximize Result"", ""titleSlug"": ""remove-digit-from-number-to-maximize-result"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
1729,Find Followers Count,Easy,https://leetcode.com/problems/find-followers-count/,Database,69.46,False,Database,685,40,,[]
1527,Patients With a Condition,Easy,https://leetcode.com/problems/patients-with-a-condition/,Database,38.92,False,Database,789,623,,[]
3381,Maximum Subarray Sum With Length Divisible by K,Medium,https://leetcode.com/problems/maximum-subarray-sum-with-length-divisible-by-k/,"Array, Hash Table, Prefix Sum",27.26,False,Algorithms,174,7,,"[{""title"": ""Subarray Sums Divisible by K"", ""titleSlug"": ""subarray-sums-divisible-by-k"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
624,Maximum Distance in Arrays,Medium,https://leetcode.com/problems/maximum-distance-in-arrays/,"Array, Greedy",45.61,False,Algorithms,1479,118,,[]
2177,Find Three Consecutive Integers That Sum to a Given Number,Medium,https://leetcode.com/problems/find-three-consecutive-integers-that-sum-to-a-given-number/,"Math, Simulation",64.8,False,Algorithms,713,233,,"[{""title"": ""Longest Consecutive Sequence"", ""titleSlug"": ""longest-consecutive-sequence"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Ways to Buy Pens and Pencils"", ""titleSlug"": ""number-of-ways-to-buy-pens-and-pencils"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2648,Generate Fibonacci Sequence,Easy,https://leetcode.com/problems/generate-fibonacci-sequence/,,83.59,False,JavaScript,266,28,,"[{""title"": ""Nested Array Generator"", ""titleSlug"": ""nested-array-generator"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Design Cancellable Function"", ""titleSlug"": ""design-cancellable-function"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
1043,Partition Array for Maximum Sum,Medium,https://leetcode.com/problems/partition-array-for-maximum-sum/,"Array, Dynamic Programming",77.15,False,Algorithms,4935,433,,"[{""title"": ""Subsequence of Size K With the Largest Even Sum"", ""titleSlug"": ""subsequence-of-size-k-with-the-largest-even-sum"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Partition String Into Minimum Beautiful Substrings"", ""titleSlug"": ""partition-string-into-minimum-beautiful-substrings"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Minimum Substring Partition of Equal Character Frequency"", ""titleSlug"": ""minimum-substring-partition-of-equal-character-frequency"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
63,Unique Paths II,Medium,https://leetcode.com/problems/unique-paths-ii/,"Array, Dynamic Programming, Matrix",43.43,False,Algorithms,9367,548,,"[{""title"": ""Unique Paths"", ""titleSlug"": ""unique-paths"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Unique Paths III"", ""titleSlug"": ""unique-paths-iii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Minimum Path Cost in a Grid"", ""titleSlug"": ""minimum-path-cost-in-a-grid"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Paths in Matrix Whose Sum Is Divisible by K"", ""titleSlug"": ""paths-in-matrix-whose-sum-is-divisible-by-k"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2150,Find All Lonely Numbers in the Array,Medium,https://leetcode.com/problems/find-all-lonely-numbers-in-the-array/,"Array, Hash Table, Counting",61.93,False,Algorithms,682,65,,"[{""title"": ""Frequency of the Most Frequent Element"", ""titleSlug"": ""frequency-of-the-most-frequent-element"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3077,Maximum Strength of K Disjoint Subarrays,Hard,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/,"Array, Dynamic Programming, Prefix Sum",26.95,False,Algorithms,158,75,,"[{""title"": ""Partition Array into Disjoint Intervals"", ""titleSlug"": ""partition-array-into-disjoint-intervals"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Strength of a Group"", ""titleSlug"": ""maximum-strength-of-a-group"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
51,N-Queens,Hard,https://leetcode.com/problems/n-queens/,"Array, Backtracking",73.53,False,Algorithms,13600,328,,"[{""title"": ""N-Queens II"", ""titleSlug"": ""n-queens-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Grid Illumination"", ""titleSlug"": ""grid-illumination"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2172,Maximum AND Sum of Array,Hard,https://leetcode.com/problems/maximum-and-sum-of-array/,"Array, Dynamic Programming, Bit Manipulation, Bitmask",50.1,False,Algorithms,536,33,,"[{""title"": ""Minimum XOR Sum of Two Arrays"", ""titleSlug"": ""minimum-xor-sum-of-two-arrays"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
1983,Widest Pair of Indices With Equal Range Sum,Medium,https://leetcode.com/problems/widest-pair-of-indices-with-equal-range-sum/,"Array, Hash Table, Prefix Sum",53.46,True,Algorithms,101,3,,[]
136,Single Number,Easy,https://leetcode.com/problems/single-number/,"Array, Bit Manipulation",76.38,False,Algorithms,17904,835,,"[{""title"": ""Single Number II"", ""titleSlug"": ""single-number-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Single Number III"", ""titleSlug"": ""single-number-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Missing Number"", ""titleSlug"": ""missing-number"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the Duplicate Number"", ""titleSlug"": ""find-the-duplicate-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Find the Difference"", ""titleSlug"": ""find-the-difference"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find the XOR of Numbers Which Appear Twice"", ""titleSlug"": ""find-the-xor-of-numbers-which-appear-twice"", ""difficulty"": ""Easy"", ""translatedTitle"": null}]"
3537,Fill a Special Grid,Medium,https://leetcode.com/problems/fill-a-special-grid/,"Array, Divide and Conquer, Matrix",70.09,False,Algorithms,102,9,,[]
3291,Minimum Number of Valid Strings to Form Target I,Medium,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/,"Array, String, Binary Search, Dynamic Programming, Trie, Segment Tree, Rolling Hash, String Matching, Hash Function",20.38,False,Algorithms,164,17,,"[{""title"": ""Minimum Cost to Convert String II"", ""titleSlug"": ""minimum-cost-to-convert-string-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Construct String with Minimum Cost"", ""titleSlug"": ""construct-string-with-minimum-cost"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2666,Allow One Function Call,Easy,https://leetcode.com/problems/allow-one-function-call/,,86.68,False,JavaScript,555,70,,[]
3134,Find the Median of the Uniqueness Array,Hard,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/,"Array, Hash Table, Binary Search, Sliding Window",28.82,False,Algorithms,170,13,,"[{""title"": ""Find K-th Smallest Pair Distance"", ""titleSlug"": ""find-k-th-smallest-pair-distance"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Total Appeal of A String"", ""titleSlug"": ""total-appeal-of-a-string"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
1150,Check If a Number Is Majority Element in a Sorted Array,Easy,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,"Array, Binary Search",59.09,True,Algorithms,466,35,,"[{""title"": ""Majority Element"", ""titleSlug"": ""majority-element"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Majority Element II"", ""titleSlug"": ""majority-element-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
797,All Paths From Source to Target,Medium,https://leetcode.com/problems/all-paths-from-source-to-target/,"Backtracking, Depth-First Search, Breadth-First Search, Graph",83.23,False,Algorithms,7490,150,,"[{""title"": ""Number of Ways to Arrive at Destination"", ""titleSlug"": ""number-of-ways-to-arrive-at-destination"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Number of Increasing Paths in a Grid"", ""titleSlug"": ""number-of-increasing-paths-in-a-grid"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3117,Minimum Sum of Values by Dividing Array,Hard,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/,"Array, Binary Search, Dynamic Programming, Bit Manipulation, Segment Tree, Queue",27.18,False,Algorithms,130,4,,"[{""title"": ""Minimum Cost to Split an Array"", ""titleSlug"": ""minimum-cost-to-split-an-array"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Split With Minimum Sum"", ""titleSlug"": ""split-with-minimum-sum"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Find Subarray With Bitwise OR Closest to K"", ""titleSlug"": ""find-subarray-with-bitwise-or-closest-to-k"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Find X Value of Array II"", ""titleSlug"": ""find-x-value-of-array-ii"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2445,Number of Nodes With Value One,Medium,https://leetcode.com/problems/number-of-nodes-with-value-one/,"Array, Tree, Depth-First Search, Breadth-First Search, Binary Tree",65.79,True,Algorithms,78,10,,[]
3143,Maximum Points Inside the Square,Medium,https://leetcode.com/problems/maximum-points-inside-the-square/,"Array, Hash Table, String, Binary Search, Sorting",38.44,False,Algorithms,163,24,,"[{""title"": ""Maximize the Distance Between Points on a Square"", ""titleSlug"": ""maximize-the-distance-between-points-on-a-square"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
3016,Minimum Number of Pushes to Type Word II,Medium,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii/,"Hash Table, String, Greedy, Sorting, Counting",79.9,False,Algorithms,761,77,,"[{""title"": ""Letter Combinations of a Phone Number"", ""titleSlug"": ""letter-combinations-of-a-phone-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1871,Jump Game VII,Medium,https://leetcode.com/problems/jump-game-vii/,"String, Dynamic Programming, Sliding Window, Prefix Sum",25.78,False,Algorithms,1766,117,,"[{""title"": ""Jump Game II"", ""titleSlug"": ""jump-game-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game"", ""titleSlug"": ""jump-game"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game III"", ""titleSlug"": ""jump-game-iii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game IV"", ""titleSlug"": ""jump-game-iv"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Jump Game V"", ""titleSlug"": ""jump-game-v"", ""difficulty"": ""Hard"", ""translatedTitle"": null}, {""title"": ""Jump Game VI"", ""titleSlug"": ""jump-game-vi"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game VII"", ""titleSlug"": ""jump-game-vii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Jump Game VIII"", ""titleSlug"": ""jump-game-viii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count Vowel Strings in Ranges"", ""titleSlug"": ""count-vowel-strings-in-ranges"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Maximum Number of Jumps to Reach the Last Index"", ""titleSlug"": ""maximum-number-of-jumps-to-reach-the-last-index"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
1049,Last Stone Weight II,Medium,https://leetcode.com/problems/last-stone-weight-ii/,"Array, Dynamic Programming",58.12,False,Algorithms,3289,135,,"[{""title"": ""Partition Array Into Two Arrays to Minimize Sum Difference"", ""titleSlug"": ""partition-array-into-two-arrays-to-minimize-sum-difference"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
309,Best Time to Buy and Sell Stock with Cooldown,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,"Array, Dynamic Programming",60.85,False,Algorithms,9829,345,,"[{""title"": ""Best Time to Buy and Sell Stock"", ""titleSlug"": ""best-time-to-buy-and-sell-stock"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Best Time to Buy and Sell Stock II"", ""titleSlug"": ""best-time-to-buy-and-sell-stock-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
3014,Minimum Number of Pushes to Type Word I,Easy,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i/,"Math, String, Greedy",66.4,False,Algorithms,181,37,,"[{""title"": ""Letter Combinations of a Phone Number"", ""titleSlug"": ""letter-combinations-of-a-phone-number"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
2506,Count Pairs Of Similar Strings,Easy,https://leetcode.com/problems/count-pairs-of-similar-strings/,"Array, Hash Table, String, Bit Manipulation, Counting",72.8,False,Algorithms,568,40,,"[{""title"": ""Sort Characters By Frequency"", ""titleSlug"": ""sort-characters-by-frequency"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Count the Number of Consistent Strings"", ""titleSlug"": ""count-the-number-of-consistent-strings"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Number of Good Paths"", ""titleSlug"": ""number-of-good-paths"", ""difficulty"": ""Hard"", ""translatedTitle"": null}]"
2753,Count Houses in a Circular Street II,Hard,https://leetcode.com/problems/count-houses-in-a-circular-street-ii/,,61.45,True,Algorithms,27,3,,[]
721,Accounts Merge,Medium,https://leetcode.com/problems/accounts-merge/,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",60.03,False,Algorithms,7387,1266,,"[{""title"": ""Redundant Connection"", ""titleSlug"": ""redundant-connection"", ""difficulty"": ""Medium"", ""translatedTitle"": null}, {""title"": ""Sentence Similarity"", ""titleSlug"": ""sentence-similarity"", ""difficulty"": ""Easy"", ""translatedTitle"": null}, {""title"": ""Sentence Similarity II"", ""titleSlug"": ""sentence-similarity-ii"", ""difficulty"": ""Medium"", ""translatedTitle"": null}]"
